Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36@-@615761915 (AirWatch Browser v3.0.0.60)
Mozilla/5.0 (Macintosh; U; PPC; en-US; rv:1.1) Gecko/20020826
Opera/8.01 (Macintosh; U; PPC Mac OS; en)
Mozilla/3.01-C-SYMPA (Macintosh; I; PPC)
Mozilla/4.0 (compatible; WebCapture 3.0; Macintosh)
Mozilla/4.0 (compatible; MSIE 4.01; CS 2000; Mac_PPC)
Mozilla/4.5 [fr] (Macintosh; I; PPC)
Mozilla/4.72C-CCK-MCD {UMCE} (Macintosh; U; PPC)
Mozilla/4.0 (compatible; MSIE 5.5b1; Mac_PowerPC)
VIDERO MediaBrowser 3.5 [Mozilla/5.0 (Macintosh; U) AppleWebKit/533.3 (KHTML, like Gecko) Chrome/Safari/533.3]
Mozilla/5.0 (Macintosh; PowerPC AmigaOS4; Odyssey Web Browser; rv:1.16) AppleWebKit/535.14 (KHTML, like Gecko) OWB/1.16 Safari/535.14
Mozilla/4.5 (compatible; iCab 2.9.9; Macintosh; U; PPC)
Mozilla/5.0 (Macintosh; U; PPC; en-US; rv:1.0.1) Gecko/20020823 Netscape/7.0 (BDP)
Mozilla/4.0 (compatible; MSIE 5.23; Mac_PowerPC),gzip(gfe) (via translate.google.com)
Mozilla/4.0 (compatible; MSIE 5.12; AOL 5.1; Mac_PowerPC)
Mozilla/5.0 (Macintosh; U; PPC; en-US; mimic; rv:9.3.0) Clecko/20120101 Classilla/CFM
iCab/3.0.5 (Macintosh; U; PPC Mac OS)
Mozilla/4.5 (compatible; OmniWeb/4.2-v435.2; Mac_PowerPC)
Mozilla/4.07 (Macintosh; I; PPC)
Mozilla/5.0 (Macintosh; Intel OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2227.1 Safari/537.36
Mozilla/5.0 (Macintosh; PPC MacOS X; rv:5.0) Gecko/20110615 Firefox/5.0
Mozilla/4.0 (compatible; MSIE 4.01; Mac_PowerPC; e412514FSMACIE4)
Mozilla/5.0(Macintosh;MacOS X10_14_3;rv;67.0)Gecko 20100101 Firefox 67.0
Mozilla/4.51 (Macintosh; I; PPC)
Mozilla/4.75C-CCK-MCD (Macintosh; U; PPC)
Mozilla/5.0(Macintosh; intel Max OS x 10_9_5) AppleWebKit 537.36 (KHTML, like Gecko) Chrome
Mozilla/5.0 (Macintosh; PPC Mac OS 9; mimic; rv:9.3.3) Gecko/20100101 Firefox/31.0 Classilla/CFM
Mozilla/4.0 (compatible; MSIE 5.23; Mac_PowerPC) Opera 7.51 [en]
Mozilla/4.08 (Macintosh; U; PPC, Nav)
Mozilla/5.0 (Macintosh; Intel Mac OS2_6) AppleWebKit/604.1.28 (KHTML, like Gecko) Version/11.0 Safari/604.1.28
Mozilla/4.0 (compatible; MSIE 5.0; Mac_PowerPC) Opera 6.0 [en]
Mozilla/4.0 (compatible; MSIE 6.0; Mac_PowerPC; en) Opera 9.00
Mozilla/5.0 (compatible; iCab 3.0.5; Macintosh; U; PPC Mac OS)
Mozilla/4.0 (compatible; MSIE 6.0; Mac_PowerPC; en) Opera 9.24
Mozilla/4.0 (compatible; MSIE 5.0; Mac_PowerPC; e504460WanadooNL)
Mozilla/3.01 (Macintosh; I; 68K)
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.3.1 Safari/605.1.15 (Airwatch Browser v7.12)
MacAppStore/2.4 (Macintosh; OS X 10.13.6; 17G65) AppleWebKit/3605.3.8 CommerceKit/658.1
Mozilla/5.0(Macintosh;MacOS X10.14_1;rv;65.0)Gecko 20100101 Firefox 65.0
Mozilla/5.0 (Macintosh; Intel OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36
iCab/2.9.7 (Macintosh; U; PPC)
Mozilla/5.0 (Macintosh) StashBot/1.2
Mozilla/5.0 (Macintosh; PowerPC MorphOS 3.9; Odyssey Web Browser; rv:1.24) AppleWebKit/538.10 (KHTML, like Gecko) OWB/1.24 Safari/538.10
Mozilla/5.0 (Macintosh; U; PPC Mac OS; en) iCab 3
Mozilla/5.0 (Macintosh; u; PPC; en-US; rv:10.0.2) Gecko/20100101 Firefox/10.0.2
Mozilla/4.0 (compatible; MSIE 5.0; Mac_PowerPC; S00002924ORE.com)
Mozilla/4.0 (compatible; MSIE 5.0; Mac_PowerPC),gzip(gfe) (via translate.google.com)
Mozilla/4.5 [fr] (Macintosh; U; PPC)
Mozilla/4.0 (compatible; MSIE 5.0; Mac_PowerPC; e412357VZ_IE50M)
Mozilla/4.0 (compatible; MSIE 5.0; Mac_PowerPC; E425696NYU)
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.4 Safari/605.1.15 (Airwatch Browser v7.11)
MacAppStore/2.4 (Macintosh; OS X 10.13.6; 17G8037) AppleWebKit/3605.3.8 CommerceKit/658.2
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15 (Airwatch Browser v7.9)
Mozilla/5.0 (Macintosh; Intel MacOS X 10.9; rv:29.0) Gecko/29.0 Firefox/29.0
Mozilla/5.0 (Macintosh; Intel Mac OS 13_6; rv:68.0) Gecko/20100101 Firefox/68.0
Mozilla/5.0 (Macintosh; AppleWebkit/610.1.1; Chrome/77.0.3282.140 Safari/610.36 Edge/43.17134; Trident/7.0; Touch; rv:11.0) like Gecko
Mozilla/5.0 (Macintosh; PPC Mac OS 9; mimic; rv:9.3.2) Gecko/20100101 Firefox/18.0 Classilla/CFM
Mozilla/5.0 (Macintosh; Win64; x64; rv:15.0) Gecko/15.0 Firefox/15.0a1
Mozilla/3.0 (Macintosh; I; 68K)
Mozilla/4.0 (compatible; MSIE 5.0b1; Mac_PowerPC; E424238FREE)
Mozilla/4.0 (compatible; MSIE 5.17; Mac_PowerPC),gzip(gfe) (via translate.google.com)
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.3.1 Safari/605.1.15 (Airwatch Browser v7.13)
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.3.2 Safari/605.1.15 (Airwatch Browser v7.7)
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.4.1 Safari/605.1.15 (Airwatch Browser v7.11)
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15 (Airwatch Browser v7.2.1)
Opera/5.02 (Macintosh; U; id)
Mozilla/5.0(Macintosh;MacOS X10_14_3;rv;67.0)Gecko 20100101 Firefox 70.0
MacAppStore/2.4 (Macintosh; OS X 10.13.4; 17E199) AppleWebKit/3605.1.33.1.2 CommerceKit/656.20
Mozilla/5.0(Macintosh;MacOS X10_14_3;rv;67.0)Gecko 20100101 Firefox 69.0
Mozilla/5.0 (Macintosh; Intel …) Gecko/20100101 Firefox/67.0
Mozilla/5.0 (Macintosh; PowerPC MorphOS 3.12; Odyssey Web Browser; rv:1.26) AppleWebKit/538.10 (KHTML, like Gecko) OWB/1.26 Safari/538.10
Mozilla/5.0(Macintosh; Intel MacOS X 10_9_5)AppleWebKit 537.36(KHTML,like Gecko)Chrome
Mozilla/5.0 (Macintosh; PowerPC MorphOS 3.10; Odyssey Web Browser; rv:1.24) AppleWebKit/538.10 (KHTML, like Gecko) OWB/1.24 Safari/538.10
Konqueror/18.5 (Macintosh 4.4; sq_AL;)
CriOS/16.10 (Macintosh 1.8; fr_CA;)
Mozilla/5.0 (Macintosh; Intel Mac OX X 10_9_5) AppleWekit 537.36 (KHTML, like Gecko) Chrome
Mozilla/5.0 (Macintosh; U; PPC Max OS X Mach-O; en-US; rv:1.8.0.7) Gecko/200609211 Camino/1.0.3
Mozilla/4.7C-CCK-MCD C-UDP; EBM-APPLE (Macintosh; I; PPC)
Mozilla/5.0 (Macintosh; U; MacOS X 10_11_5; en-US; Source2 HTML/1461972496; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36
Mozilla/4.0 (compatible; MSIE 5.23; Mac_PowerPC) Opera 7.54 [en]
Mozilla/5.0 (Macintosh; PowerPC MorphOS 3.7; Odyssey Web Browser; rv:1.23) AppleWebKit/538.1 (KHTML, like Gecko) OWB/1.23 Safari/538.1
Opera/9.20 (Macintosh; U; pt)
Mozilla/5.0 (Macintosh; PowerPC MorphOS 3.6; Odyssey Web Browser; rv:1.23) AppleWebKit/538.1 (KHTML, like Gecko) OWB/1.23 Safari/538.1
Mozilla/5.0 (Macintosh; U; PPC; en-US; rv:9.0) Clecko/20090628 Classilla/CFM
Mozilla/5.001 (Macintosh; N; PPC; ja) Gecko/25250101
Mozilla/5.0 (Macintosh; U; PPC; en-US; mimic; rv:9.3.2) Clecko/20120101 Classilla/CFM
Mozilla/4.0 (compatible; iCab 2.0.1; Macintosh; I; 68k)
Mozilla/5.0 (Macintosh; U; PPC; ja-JP; rv:1.0.1) Gecko/20020823 Netscape/7.0
Mozilla/5.0 (compatible; Origyn Web Browser; AmigaOS 4; PPC; U) AppleWebKit/532.0+ (KHTML, like Gecko, Safari/532.0+)
Mozilla/4.0 (compatible; MSIE ; Mac_PPC)
Mozilla/4.0 (compatible; MSIE 4.01; AOL 4.0; Mac_PPC)
Mozilla/4.0 (compatible; MSIE 5.0; Mac_PowerPC) Opera 5.0 [en]
Mozilla/4.0 (compatible; MSIE 5.23; Mac_PowerPC) Opera 7.54u1 [en]
Mozilla/4.5 (compatible; iCab 2.9.1; Macintosh; U; PPC)
Mozilla/5.0(Macintosh;MacOS X10_14_3;rv;67.0)Gecko 20100101 Firefox 73.0
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.3.1 Safari/605.1.15 (Airwatch Browser v7.2.1)
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.3.1 Safari/605.1.15 (Airwatch Browser v7.9)
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.2 Safari/605.1.15 (Airwatch Browser v7.3.1)
MacAppStore/2.4 (Macintosh; OS X 10.13.6; 17G10021) AppleWebKit/3605.3.8 CommerceKit/658.2
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.2.2 Safari/605.1.15 (Airwatch Browser v7.10)
MacAppStore/2.2 (Macintosh; OS X 10.12.6; 16G2136) AppleWebKit/2603.3.8
Mozilla/5.0 (Macintosh; Intel MacOS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36
Mozilla/5.0 (Macintosh; Intel MacOS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36
Mozilla/5.0 (Macintosh; Intel MacOS X 10_6_8) AppleWebKit/534.58.2 (KHTML, like Gecko) Version/5.1.8 Safari/534.58.2
Mozilla/5.0 (Macintosh; Intel MacOS X 10_11_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.2 Safari/605.1.15 (Airwatch Browser v7.10)
MacAppStore/2.4 (Macintosh; OS X 10.13.6; 17G5019) AppleWebKit/3605.3.8 CommerceKit/658.2
MacAppStore/1.3 (Macintosh; OS X 10.9.5) AppleWebKit/537.78.2
Mozilla/5.0 (Macintosh; Intel Mac OS 13_6; rv:69.0) Gecko/20100101 Firefox/69.0
MacAppStore/2.4 (Macintosh; OS X 10.13.6; 17G7024) AppleWebKit/3605.3.8 CommerceKit/658.2
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:10.0) Gecko/20100101 Firefox/10.0
Seamonkey/8.2 (Macintosh 4.7; be;)
Safari/13.13 (Macintosh 5.1; fr_CH;)
Konqueror/4.10 (Macintosh 1.0; ar_OM;)
Flock/1.11 (Macintosh 3.6; de_DE;)
Mozilla/5.0 (Macintosh; PPC Mac OS 1.0; rv:2.0.1) Gecko/20100101 Opera/96
Mozilla/4.0 (compatible; MSIE 4.01; AOL 5.0; MacPPC)
Mozilla/4.5 (compatible; OmniWeb/4.2-v435.5; Mac_PowerPC)
Mozilla/4.0 (compatible; MSIE 5.17; Mac_PowerPC Mac OS; en)
Mozilla/4.73 (Macintosh; I; PPC)
Mozilla/3.04Gold (Macintosh; I; PPC)
Mozilla/5.0 (Macintosh; PowerPC MorphOS 3.8; Odyssey Web Browser; rv:1.24) AppleWebKit/538.10 (KHTML, like Gecko) OWB/1.24 Safari/538.10
Mozilla/5.0 (Macintosh; PowerPC MorphOS 3.2; Odyssey Web Browser; rv:1.20) AppleWebKit/537.33 (KHTML, like Gecko) OWB/1.20 Safari/537.33
Mozilla/5.0 (Origyn Web Browser; AmigaOS 4.1; PPC; DE; de) Gecko/20130304 Origyn Web Browser
Mozilla/4.5 (compatible; OmniWeb/4.2-v435.5; Mac_PowerPC )
Mozilla/5.0 (compatible; MSIE 9.0; Mac_PowerPC) Opera 12.16
Mozilla/4.05 (Macintosh; I; PPC, Nav)
Mozilla/5.0 (Macintosh; U; MacOS X; en-US) AppleWebKit/534.34 (KHTML, like Gecko) QtWeb Internet Browser/3.8.5 http://www.QtWeb.net
Mozilla/4.0 (compatible; MSIE 5.0; Mac_PowerPC) Opera 6.0 [de]
Mozilla/4.0 (compatible; MSIE 6.0; Mac_PowerPC; de) Opera 9.50
Mozilla/4.0 (compatible; MSIE 5.22; Mac_PowerPC),gzip(gfe) (via translate.google.com)
Mozilla/5.0 (Macintosh; U; PPC; en-US; rv:1.0.1) Gecko/20020823 Netscape/7.0,gzip(gfe) (via translate.google.com)
Mozilla/5.0 (Macintosh; U; PPC; en-US; rv:1.3.1) Gecko/20030621 Unofficial/1.3.1
Mozilla/4.0 (compatible; MSIE 5.21; Mac_PowerPC) (via translate.google.com)
Mozilla/5.0 (Macintosh; Intel Mac OS 13_6; rv:73.0) Gecko/20100101 Firefox/73.0
Mozilla/5.0 (Macintosh; Intel MacOS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.3 Safari/605.1.15 (Airwatch Browser v7.10)
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15 (Airwatch Browser v7.12)
oOmP1tZ9g2 RZZZk95oExlD1v (Macintosh NT 14.9; Win108; x710; rv:918.6) Opera/1098842610 lvZcPTfun1n9590w Xq9tjjyZbZ4jAKV Opera/7.9 9EZ62Y9YgI cFAjGAbP0b9 73Z3z9Div hHLj9s1Z9Tm InJQOijloh
158c12MLt11OcZXy e9n3xk9jZ6WQP64O ZJVHS1410myU15 RN10PESMKFs ESsu9dfJ fT90bEZuF8mW Opera/839109121612145 Z1113f12LL9IS A815kZmqXCEG TPia9UivaoZkZ ZDUsk6SZ5VLZn Chrome/17.10 v13tAJKj13H14yQ (X92111; Gentoo; Macintosh x35107_1466; rv:5895.8)
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.3.1 Safari/605.1.15 (Airwatch Browser v7.10)
Mozilla/5.0 (Macintosh; U; MacOS X 10_13_6; en-US; Valve Client/1581460722; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14
Bx7gCZwZ17gw NHjdBZ0pbaU n1nOg7ZI6Z HRWZ5jm61j97 d3ZI12Z11WUw hZgZph8TZln14H KHTML/1012116141616154 emub8L9EgrAn1B8 SeaMonkey/1010.12 hajKM9AeDi7 a11iZ10FiC10YZJ11j13 (Macintosh; Macintosh NT; Macintosh x8156_9328; rv:111655.8) dWVq16cfSE FAoCGyMBbgo15tLk 10TF154m6Oa11HZ11tTj QY6ZAdULZFv14 nXkE9CI3x i18wv16bsZfGak3ZZP
MacAppStore/2.3 (Macintosh; OS X 10.13.1; 17B1003) AppleWebKit/3604.3.5 CommerceKit/652
Mozilla/5.0 (Macintosh; U; MacOS X 10_14_6; en-US; Valve Client/1579321278; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36
Mozilla/5.0 (Macintosh; U; MacOS X 10_11_6; en-US; Valve Client/1579321278; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/600.1.17 (KHTML, like Gecko) Version/9.0 Safari/537.85.10 (Airwatch Browser v7.0) Version/12.4.1 Safari/600.1.17 (AirWatch Browser v7.8.1)
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.4.4 Safari/605.1.15 (Airwatch Browser v7.11.1)
Mozilla/5.0 (Macintosh; Intel Mac OS 13_6; rv:72.0) Gecko/20100101 Firefox/72.0
MacAppStore/2.4 (Macintosh; OS X 10.13.6; 17G9016) AppleWebKit/3605.3.8 CommerceKit/658.2
Mozilla/5.0 (Macintosh; U; MacOS X 10_14_6; en-US; Valve Client/1576550254; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.3 Safari/605.1.15 (Airwatch Browser v7.11)
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15 (Airwatch Browser v7.9)
Mozilla/5.0 (Macintosh; U; MacOS X 10_14_5; en-US; Valve Client/1576550254; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36
Mozilla/5.0 (Macintosh; Intel Mac OS 11_3;) AppleWebKit/147.77 (KHTML, like Gecko) Chrome/18.0.0149.71 Safari/147.77
Mozilla/5.0 (Macintosh; U; MacOS X 10_13_6; en-US; Valve Client/1575604565; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
Mozilla/5.0 (Macintosh; U; MacOS X 10_13_0; en-US; Valve Client/1575604565; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/604.5.6 (KHTML, like Gecko) Version/12.3.1 Safari/604.5.6 (Airwatch Browser v7.7)
Safari/11.3 2XZxQVmt95 Tmh02qXrHxu dd9PHjnJZMaU dOZ9VsFf Gecko/126989823 si9vijJtZW5UOZm9 W99wYpmo2R9 (Macintosh NT 87.7; rv:811.8) xRQrV9WlZaA9
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15 (Airwatch Browser v7.5)
Mozilla/5.0 (Macintosh; U; MacOS X 10_14_6; en-US; Valve Client/1574216296; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.2 Safari/605.1.15 (Airwatch Browser v7.11)
Mozilla/5.0 (Macintosh; Intel Mac OS 11_4_1;) AppleWebKit/706.52 (KHTML, like Gecko) Chrome/72.0.9590.50 Safari/706.52
Mozilla/5.0 (Macintosh; Intel Mac OS 10_3_2;) AppleWebKit/518.42 (KHTML, like Gecko) Chrome/70.0.1835.84 Safari/518.42
Mozilla/5.0 (Macintosh; Intel Mac OS 11_2_1;) AppleWebKit/998.79 (KHTML, like Gecko) Chrome/62.0.8846.83 Safari/998.79
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.4 Safari/605.1.15 (Airwatch Browser v7.10)
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Safari/605.1.15 (Airwatch Browser v7.2.1)
Mozilla/5.0 (Macintosh; Intel macOS) AppleWebKit (KHTML, like Gecko);C15IE72011A
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/600.1.17 (KHTML, like Gecko) Version/9.0 Safari/537.85.10 (Airwatch Browser v89)
Mozilla/5.0 (Macintosh; U; X 10_6_6; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.648.127 Safari/534.16
Mozilla/5.0 (Macintosh; U; MacOS X 10_12_1; en-US; Valve Steam Client/1481318740; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.59 Safari/537.36
Mozilla/5.0 (Macintosh; Intel Mac OSX 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36
Mozilla/5.0 (Macintosh; Intel Mac OSX 10_10_5) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9
Mozilla/5.0 (Macintosh; Intel Mac OSX 10_12_2) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0.2 Safari/602.3.12
Mozilla/5.0 (Macintosh; Intel Mac OSX 10_10) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25
Mozilla/5.0 (Macintosh; Intel MacOS X 10.7; rv:30.0) Gecko/20100101 Firefox/30.0
Mozilla/5.0 (Macintosh; Intel MacOS X 10.9; rv:19.0) Gecko/20100101 Firefox/19.0
Mozilla/5.0 (Macintosh; Intel MacOS X 10_9_1) AppleWebKit/537.73.11 (KHTML, like Gecko) Version/7.0.1 Safari/537.73.11
Mozilla/5.0 (compatible; MSIE 7.0; PPC; .NET CLR; Trident/4.0)
Mozilla/5.0 (PPC; rv:11.0) Gecko/20070703 Firefox/11.0
Opera/7.20 (Macintosh; U; sv)
Mozilla/5.0 (Macintosh; Intel Mac OSX 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36
Mozilla/5.0 (Macintosh; U; PPC MacOS X 10_4_11; en) AppleWebKit/533.19.4 (KHTML, like Gecko) Version/4.1.3 Safari/533.19.4
Mozilla/5.0 (PPC; rv:8.0) Gecko/20060604 Firefox/8.0
Mozilla/5.0 (PPC) AppleWebKit/542.0 (KHTML, live Gecko) Chrome/19.0934.152 Safari/542
Mozilla/5.0 (Macintosh; Intel MacOS X 10.9; rv:26.0) Gecko/20100101 Firefox/26.0
Mozilla/5.0 (Macintosh; PowerPC MorphOS 3.13; Odyssey Web Browser; rv:1.26) AppleWebKit/538.10 (KHTML, like Gecko) OWB/1.26 Safari/538.10
MacAppStore/2.0 (Macintosh; OS X 10.10.5; 14F2511) AppleWebKit/0600.8.9
Mozilla/5.0 (Macintosh; U; PPC; de-DE; rv:1.0.2) Gecko/20021120 Netscape/7.01
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.4 Safari/605.1.15 (Airwatch Browser v7.7)
9Z9aZ9Hlfd3yAZ Konqueror/8612.414 Opera/14.4 Firefox/1115.5.911812.51111 4o99O5RG3f9O1 7akP1t9ELDtUZO SeaMonkey/9810.616 (Konqueror, like Opera) Y9Z93la9VyldT jZ9i7CvZe p9Lo6dj4A (Macintosh NT 22.3; Win117; x118)
Safari/989.715 AppleWebKit/141213.87 (AppleWebKit, like SeaMonkey) mEtQVqyZ vvtVZHwI5 Opera/814.2.716516.10815 hHepE7Vt (Macintosh NT 113.4; Win1413; x713) JEVzYbI6uviY Chrome/13.7 r9ptdX6MpU OKKkrn9qPJ
MacAppStore/2.2 (Macintosh; OS X 10.12.6; 16G2016) AppleWebKit/2603.3.8
9aN9kLxknfc 7chXZdZQlEZZO9Z (Chrome, like Gecko) Chrome/1316.4.1116613.91010 (Macintosh NT 103.2; Win126; x1611) Firefox/14.4 ZcyO9c1pOk3Ew4u Safari/15414.410 wLuZGlur9VR7tZ Hc69q6pm1qb ZeZRdVZiu3iZ3Ah AppleWebKit/111113.1313 xy9IIkZVLN9i LZ2GveZUSE3 m7Zb0u9dTL EVGoQFU7xQM7
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.4 Safari/605.1.15 (Airwatch Browser v7.9)
Mozilla/5.0 (Macintosh; U; MacOS X 10_14_6; en-US; Valve Steam Client/default/1563346602; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Safari/605.1.15 (Airwatch Browser v7.6)
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.4 Safari/605.1.15 (Airwatch Browser v7.8.1)
RVK6XZlPZcbQ hMwZLVnG4 AppleWebKit/14816.514 (Macintosh NT 48.8; Win1311; x117) Safari/13615.1213 (KHTML, like Chrome) Opera/1014.5.1016810.789 Zlv9xZ96u93ZT wuaP9QZKh Opera/7.3 3u9o9XUZaSZVZZ
MacAppStore/2.1 (Macintosh; OS X 10.11.3; 15D21) AppleWebKit/1601.4.4
MacAppStore/2.3 (Macintosh; OS X 10.13.3; 17D47) AppleWebKit/3604.5.6 CommerceKit/654.8
MacAppStore/2.2 (Macintosh; OS X 10.12.3; 16D30) AppleWebKit/2602.4.8
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.4.1 Safari/605.1.15 (Airwatch Browser v7.9)
MacAppStore/2.4 (Macintosh; OS X 10.13.6; 17G7024) AppleWebKit/3605.3.8 CommerceKit/658.2 hwp/t8002
MacAppStore/2.4 (Macintosh; OS X 10.13.6; 17G8030) AppleWebKit/3605.3.8 CommerceKit/658.2
Mozilla/5.0 (Macintosh; U; PPC Mac OS; en-en) AppleWebKit/412 (KHTML, like Gecko) Safari/412
Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X)+Word/14.77.0
IsDZ18oXZu Hdeu93EVfZ IZxDqKq4c kS95nHsfQg9Xt Mozilla/10.10 (Macintosh NT 513.16; Win1216; x1014; rv:12911.15) cmKPdHJZ4k aatUNe9CfUeD SdyWKr14Fm7ZZDy15 AppleWebKit/8105108111612 nCSH15ZZbD10k1116 QCL3OZonNmt OetYmRZlVPZ7a19 SJZuXEMZ3pZ
Mozilla/5.0 (Macintosh; Intel MacOS X 10.11; rv:51.0) Gecko/20100101 Firefox/59.0
MacAppStore/2.2 (Macintosh; OS X 10.12.6; 16G1510) AppleWebKit/2603.3.8
